도표번호,사고유형경로,사고상황,기본과실_A,기본과실_B,시나리오별과실,A가감요소,B가감요소,관련법규,판례및조정사례,동영상URL,이미지URL,페이지URL
차1-1,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 직진 사고 - 상대차량이 측면에서 진입 > 녹색직진 대 적색직진","신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 도로를 이용하여 녹색
신호에 교차로에 진입하여 직진 중인 A차량과 적색신호에 교차로에 진입하여 직진 중인 B
차량이 충돌한 사고이다.",0,100,,A 현저한 과실(+10) | A 중대한 과실(+20),B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",대법원 1999. 8. 24. 선고 99다30428 판결 || 대법원 2001. 9. 7. 선고 2001다40732판결,https://accident.knia.or.kr/video/car1-1.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차1-1&chartType=1
차1-2,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 직진 사고 - 상대차량이 측면에서 진입 > 녹색 직진 대 녹색이나 황색 진입 적색 충돌","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 방향을 이용하여 녹색
또는 황색신호에 교차로에 진입한 후 신호가 바뀔 때까지 아직 교차로를 벗어나지 못한 A
차량과 녹색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.",30,70,(가) : A30:B70 | (나) : A80:B20,A (가)교차로 정체중 진입(+10) | A 현저한 과실(+10) | A 중대한 과실(+20),B 현저한 과실(+10) | B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",대법원 1995. 10. 13. 선고 95다29369 판결 || 대법원 1994. 6. 14. 선고 93다57520 판결,https://accident.knia.or.kr/video/car1-2.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차1-2&chartType=1
차1-3,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 직진 사고 - 상대차량이 측면에서 진입 > 황색 직진 대 적색 직진","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 방향을 이용하여 황색
신호에 교차로에 진입하여 직진 중인 A차량과 적색신호에 교차로에 진입하여 직진 중인 B
차량이 충돌한 사고이다.",30,70,,A 적신호 직전 진입(+10) | A 현저한 과실(+10) | A 중대한 과실(+20),B 현저한 과실(+10) | B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",,https://accident.knia.or.kr/video/car1-3.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차1-3&chartType=1
차1-4,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 직진 사고 - 상대차량이 측면에서 진입 > 적색 직진 대 적색 직진","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 서로 다른 방향을 이용하여 적색
신호에 교차로에 진입하여 직진 중인 A차량과 적색신호에 교차로에 진입하여 직진 중인 B
차량이 충돌한 사고이다.",50,50,,A 현저한 과실(+10) | A 중대한 과실(+20),B 현저한 과실(+10) | B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다)",서울민사지방법원 1993. 3. 31. 선고 92가합79931 판결,https://accident.knia.or.kr/video/car1-4.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차1-4&chartType=1
차1-5,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 직진 사고 - 상대차량이 측면에서 진입 > 적색점멸 직진 대 황색점멸 직진","⊙ 적색점멸신호가 작동하는 도로에서 교차로에 진입하여 직진하는 A차량과 황색점멸신호가
작동하는 도로에서 교차로에 진입하여 직진하는 B차량이 충돌한 사고이다.",70,30,,A 노면표시 위반(+10) | A 현저한 과실(+10) | A 중대한 과실(+20) | A 명확한 선진입(-10),B 노면표시 위반(+10) | B 현저한 과실(+10) | B 중대한 과실(+20) | B 서행불이행(+20) | B 명확한 선진입(-10),"도로교통법 제2조(정의): ②8. 서행(徐行)이란 운전자가 차 또는 노면전차를 즉시 정지시킬 수 있는 정도의 느린 속도로 진행하는 것을 말한다. || 도로교통법 제4조(교통안전시설의 종류 및 설치·관리기준 등): ① 교통안전시설의 종류, 교통안전시설의 설치·관리기준, 그 밖에 교통안전시설에 관하여 필요한 사항은 행정안전부령으로 정한다. || 도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. || 도로교통법 제26조(교통정리가 없는 교차로에서의 양보운전): ① 교통정리를 하고 있지 아니하는 교차로에 들어가려고 하는 차의 운전자는 이미 교차로에 들어가 있는 다른 차가 있을 때에는 그 차에 진로를 양보하여야 한다. ② 교통정리를 하고 있지 아니하는 교차로에 들어가려고 화는 자의 은전자는 그 자가 통행하고 있는 도로의 폭보다 교차하는 도로의 폭이 넓은 경우에는 서행하여야 하며, 폭이 넓은 도로로부터 교차로에 들어가려고 하는 다른 차가 있을 때에는 그 차에 진로를 양보하여야 한다. ③ 교통정리를 하고 있지 아니하는 교차로에 동시에 들어가려고 하는 차의 운전자는 우측도로의 차에 진로를 양보하여야 한다. ④ 교통정리를 하고 있지 아니하는 교차로에서 좌회전하려고 하는 차의 운전자는 그 교차로에서 직진하거나 우회전하려는 다른 차가 있을 때에는 그 차에 진로를 양보하여야 한다. || 제31조(서행 또는 일시정지할 장소): ① 모든 차 또는 노면전차의 운전자는 다음 각 호의 어느 하나에 해당하는 곳에서는 서행하여야 한다. 1. 교통정리를 하고 있지 아니하는 교차로 ② 모든 차 또는 노면전차의 운전자는 다음 각 호의 어느 하나에 해당하는 곳에서는 일시정지 하여야 한다. 1. 교통정리를 하고 있지 아니하고 좌우를 확인할 수 없거나 교통이 빈번한 교차로 ②시도경찰청장이 도로에서의 위험을 방지하고 교통의 안전과 원활한 소통을 확보하기 위하여 필요하다고 인정하여 안전표지로 지정한 곳",대전지방법원 2015. 1. 20. 선고 2014나9524 판결 || 서울중앙지방법원 2016. 10. 21. 선고 2016가단5109218 판결,https://accident.knia.or.kr/video/car1-5.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차1-5&chartType=1
차2-1,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 > 적색직진 대 녹색화살표 신호좌회전","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 적색신호에 직진하는 A차량과 맞
은편 방향에서 녹색좌회전 화살표 신호에 좌회전하는 B차량이 충돌한 사고이다.",100,0,,A 현저한 과실(+10) | A 중대한 과실(+20),B 현저한 과실(+10) | B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",인천지방법원 1993. 12. 23. 선고 93가단5580 판결 || 서울고등법원 2007.1.11. 선고 2006나57393 판결,https://accident.knia.or.kr/video/car2-1.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차2-1&chartType=1
차2-2,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 > 녹색직진 대 녹색(적색)신호위반 좌회전","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 녹색신호에 직진하는 A차량과 맞
은편 방향에서 녹색신호에 좌회전(비보호 좌회전이 아님) 또는 적색신호에 좌회전하는 좌
회전 신호위반 B차량이 충돌한 사고이다.",0,100,,A 현저한 과실(+10) | A 중대한 과실(+20),B 현저한 과실(+10) | B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",대전고등법원 2008. 7. 17. 선고 2007나12249 판결 || 수원지방법원 2010. 6. 23. 선고 2009나36576 판결 || 서울중앙지방법원 2005. 8. 10. 선고 2005가단17011 판결,https://accident.knia.or.kr/video/car2-2.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차2-2&chartType=1
차2-3,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 > 황색직진 대 녹색신호위반 좌회전 진입 후 황색에 충돌","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 황색신호에 교차로에 진입하여 직
진 중인 A차량과 맞은편 주행방향에서 녹색직진신호에 진입하여 황색신호에 좌회전하는
B차량이 충돌한 사고이다.",40,60,,A 교차로 정체중 진입(+10) | A 현저한 과실(+10) | A 중대한 과실(+20),B 소좌회전·대좌회전(+10) | B 서행 불이행(+10) | B 현저한 과실(+10) | B 중대한 과실(+20) | B 좌회전 완료직후(-10),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",서울고등법원 1986. 12. 30. 선고 86나2674 판결,https://accident.knia.or.kr/video/car2-3.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차2-3&chartType=1
차2-4,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 > 황(적)색 직진 대 황(적)색 좌회전(동일신호)","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 황색(적색)신호에 직진하는 A차량
과 맞은편 주행방향에서 황색(적색)신호에 좌회전하는 B차량이 충돌한 사고이다.",50,50,,A 교차로 정체중 진입(+10) | A 현저한 과실(+10) | A 중대한 과실(+20),B 소좌회전·대좌회전(+10) | B 서행 불이행(+10) | B 급 좌회전(+10) | B 현저한 과실(+10) | B 중대한 과실(+20) | B 좌회전 완료직후(-10),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",인천지방법원 1998.10.23. 선고 97가단8474 판결 || 수원지방법원 1994.2.3. 92가단47294 판결 || 서울남부지방법원 2018.9.5. 선고 17가단226623 판결,https://accident.knia.or.kr/video/car2-4.mp4,,https://accident.knia.or.kr/myaccident-content?chartNo=차2-4&chartType=1
차2-5,"Main > 교차로(+자로, T자로 등) 사고 > 양쪽 신호등 있는 교차로 > 직진 대 좌회전 사고 - 상대차량이 맞은편에서 진입 > 녹색 직진 대 녹색이나 황색 진입 적색 충돌","⊙ 신호기에 의해 교통정리가 이루어지고 있는 교차로에서 녹색화살표(황색) 신호에 교차로
에 진입하여 좌회전을 하였으나 신호가 바뀔 때까지 교차로를 벗어나지 못한 A차량과 맞
은편에서 녹색신호에 교차로에 진입하여 직진 중인 B차량이 충돌한 사고이다.",30,70,(가) : A30:B70 | (나) : A80:B20,A 현저한 과실(+10) | A 중대한 과실(+20) | A (가)의 경우에 교차로 정체중 진입(+10),B 현저한 과실(+10) | B 중대한 과실(+20),"도로교통법 제5조(신호 또는 지시에 따를 의무): ① 도로를 통행하는 보행자, 차마 또는 노면전차의 운전자는 교통안전시설이 표시하는 신호 또는 지시와 다음 각 호의 어느 하나에 해당하는 사람이 하는 신호 또는 지시를 따라야 한다. 1. 교통정리를 하는 경찰공무원(의무경찰을 포함한다. 이하 같다) 및 제주특별자치도의 자치경찰공무원(이하 자치경찰공무원이라 한다) ②. 경찰공무원(자치경찰공무원을 포함한다. 이하 같다) 을 보조하는 사람으로서 대통령령으로 정하는 사람(이하 경찰보조자라 한다) || 도로교통법 제25조(교차로 통행방법): ⑤ 모든 차 또는 노면전차의 운전자는 신호기로 교통정리를 하고 있는 교차로에 들어가려는 경우에는 진행하려는 진로의 앞쪽에 있는 차 또는 노면전차의 상황에 따라 교차로(정지선이 설치되어 있는 경우에는 그 정지선을 넘은 부분을 말한다)에 정지하게 되어 다른 차 또는 노면전차의 통행에 방해가 될 우려가 있는 경우에는 그 교차로에 들어가서는 아니 된다.",,,https://accident.knia.or.kr/images/capture/차2-5_case1.PNG,https://accident.knia.or.kr/myaccident-content?chartNo=차2-5&chartType=1
